Order ID,Order Delivered At,Order Status,lat,lng,tfr
"3,430,987","February 29, 2024",1,24.87603753014406,67.1666488610208,55764
"3,431,045","February 29, 2024",1,24.8235477714623,67.08463294431567,3560
"3,431,051","February 29, 2024",1,24.830153907394696,67.170285936445,154800
"3,430,992","February 29, 2024",1,24.826737993984956,67.10805030539632,18064
"3,430,968","February 29, 2024",1,24.825644975350144,67.08321606740355,19750
"3,431,043","February 29, 2024",1,24.853994850988727,67.1328060887754,17569
"3,430,930","February 29, 2024",1,24.857289247103385,67.08881551399827,8997
"3,430,972","February 29, 2024",1,24.85655030091447,67.06626953557134,660
"3,431,030","February 29, 2024",1,24.85293216162077,67.20366166904569,37635
"3,430,985","February 29, 2024",1,24.832528512139774,67.12786009535193,4614
"3,431,034","February 29, 2024",1,24.885084103901235,67.17538749799132,11517
"3,431,033","February 29, 2024",1,24.885084103901235,67.17538749799132,8890
"3,430,949","February 29, 2024",1,24.861146632854627,67.21403243020177,1965
"3,431,077","February 29, 2024",1,24.830509613494137,67.04372255131602,69200
"3,430,936","February 29, 2024",1,24.81304964206135,67.10824241861701,12297
"3,430,975","February 29, 2024",1,24.85655030091447,67.06626953557134,8997
"3,431,009","February 29, 2024",1,24.838961344501875,67.07391215488315,2450
"3,430,967","February 29, 2024",1,24.8235477714623,67.08463294431567,20500
"3,431,083","February 29, 2024",1,24.897119827812595,67.19243863597512,129000
"3,431,094","February 29, 2024",1,24.860409848774765,67.08156349137425,69200
"3,430,945","February 29, 2024",1,24.83220414550935,67.0410001091659,5130
"3,430,986","February 29, 2024",1,24.832528512139774,67.12786009535193,4520
"3,431,052","February 29, 2024",1,24.851969926462637,67.07619773223996,9220
"3,430,942","February 29, 2024",1,24.8418703355303,67.05271733924747,1800
"3,431,024","February 29, 2024",1,24.88828460071702,67.19889068976045,16002
"3,431,039","February 29, 2024",1,24.82256184300656,67.04752257093787,3839
"3,430,993","February 29, 2024",1,24.826737993984956,67.10805030539632,5190
"3,431,026","February 29, 2024",1,24.857671336966938,67.06922331824899,3839
"3,430,958","February 29, 2024",1,24.853348070842735,67.07240073010325,27784
"3,431,025","February 29, 2024",1,24.857671336966938,67.06922331824899,3240
"3,431,017","February 29, 2024",1,24.889885268967085,67.19564521685243,50740
"3,431,008","February 29, 2024",1,24.838961344501875,67.07391215488315,2770
"3,431,068","February 29, 2024",1,24.850486192322652,67.06518357619643,1230
"3,431,053","February 29, 2024",1,24.851969926462637,67.07619773223996,4880
"3,431,047","February 29, 2024",1,24.8235477714623,67.08463294431567,1092
"3,431,046","February 29, 2024",1,24.8235477714623,67.08463294431567,5235
"3,431,076","February 29, 2024",1,24.81662417983872,67.10778577253222,5000
"3,430,941","February 29, 2024",1,24.8418703355303,67.05271733924747,5200
"3,430,970","February 29, 2024",1,24.853373929961478,67.04827325418591,15480
"3,430,974","February 29, 2024",1,24.85655030091447,67.06626953557134,1240
"3,430,950","February 29, 2024",1,24.861146632854627,67.21403243020177,7106
"3,431,069","February 29, 2024",1,24.850486192322652,67.06518357619643,4483
"3,430,969","February 29, 2024",1,24.825644975350144,67.08321606740355,6172
"3,430,991","February 29, 2024",1,24.826737993984956,67.10805030539632,8978
"3,430,997","February 29, 2024",1,24.89944538754888,67.19434903934598,22647
"3,430,973","February 29, 2024",1,24.85655030091447,67.06626953557134,7387
"3,430,961","February 29, 2024",1,24.852087963901425,67.10884122177958,8997
"3,430,940","February 29, 2024",1,24.8418703355303,67.05271733924747,3839
"3,431,000","February 29, 2024",1,24.85057016903598,67.0625620521605,7814
"3,430,999","February 29, 2024",1,24.85057016903598,67.0625620521605,4050
"3,431,037","February 29, 2024",1,24.82256184300656,67.04752257093787,910
"3,431,038","February 29, 2024",1,24.82256184300656,67.04752257093787,5235
"3,430,951","February 29, 2024",1,24.861146632854627,67.21403243020177,980
"3,430,929","February 29, 2024",1,24.857289247103385,67.08881551399827,2450
"3,431,042","February 29, 2024",1,24.853994850988727,67.1328060887754,1250
"3,430,935","February 29, 2024",1,24.81304964206135,67.10824241861701,8600
"3,430,998","February 29, 2024",1,24.89944538754888,67.19434903934598,28068